date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:42	99/99	---M-Z	200	added ('OK')	text/plain	etag:%2254-643f40f1647fd-gzip%22	https://doorbuilder.garagedoorsupplyhouse.com/robots.txt		(from )
23:53:42	7786/7786	---M--	200	added ('OK')	text/html	etag:%22691ddf32-1e6a%22	https://doorbuilder.garagedoorsupplyhouse.com/	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/doorbuilder.garagedoorsupplyhouse.com/index.html	(from )
23:53:58	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2014%20Jan%202026%2016:53:58%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/www.googletagmanager.com/gtm.05445.delayed	(from https://doorbuilder.garagedoorsupplyhouse.com/)
23:53:58	155758/155758	---MCZ	200	added ('OK')	text/css	etag:W/%22a15c2ac3234aa8f6064ef9c1f7383c37%22	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/stackpath.bootstrapcdn.com/bootstrap/4.3.1/css/bootstrap.min.css	(from https://doorbuilder.garagedoorsupplyhouse.com/)
23:53:58	72/72	---M--	302	error ('Found')	text/plain	date:Wed,%2014%20Jan%202026%2016:53:58%20GMT	https://unpkg.com/@angular/material/prebuilt-themes/indigo-pink.css	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/unpkg.com/@angular/material/prebuilt-themes/indigo-pink.2.delayed	(from https://doorbuilder.garagedoorsupplyhouse.com/)
23:54:04	104672/104672	---MCZ	200	added ('OK')	text/css	date:Wed,%2014%20Jan%202026%2015:27:35%20GMT	https://unpkg.com/@angular/material@21.1.0/prebuilt-themes/indigo-pink.css	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/unpkg.com/@angular/material@21.1.0/prebuilt-themes/indigo-pink.css	(from https://doorbuilder.garagedoorsupplyhouse.com/)
23:54:17	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jan%202026%2016:54:15%20GMT	http://doorbuilder.garagedoorsupplyhouse.com/favicon.ico	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/doorbuilder.garagedoorsupplyhouse.com/favicon.6.delayed	(from https://doorbuilder.garagedoorsupplyhouse.com/)
23:54:17	52310/52310	---MC-	200	added ('OK')	text/javascript	date:Tue,%2015%20Jul%202025%2000:44:26%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/www.google-analytics.com/analytics.js	(from https://doorbuilder.garagedoorsupplyhouse.com/)
23:54:25	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jan%202026%2016:54:22%20GMT	http://doorbuilder.garagedoorsupplyhouse.com/runtime.js	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/doorbuilder.garagedoorsupplyhouse.com/runtime.js	(from https://doorbuilder.garagedoorsupplyhouse.com/)
23:54:25	380115/380115	---M--	200	added ('OK')	application/javascript	etag:%22683f6cb6-5ccd3%22	https://api.paytrace.com/assets/e2ee/paytrace-e2ee.js	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/api.paytrace.com/assets/e2ee/paytrace-e2ee.js	(from https://doorbuilder.garagedoorsupplyhouse.com/)
23:54:25	115888/115888	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%22691ddf31-1c4b0%22	https://doorbuilder.garagedoorsupplyhouse.com/favicon.ico	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/doorbuilder.garagedoorsupplyhouse.com/favicon.ico	(from https://doorbuilder.garagedoorsupplyhouse.com/)
23:54:26	6224/6224	---M--	200	added ('OK')	application/javascript	etag:%22691ddf34-1850%22	https://doorbuilder.garagedoorsupplyhouse.com/runtime.js	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/doorbuilder.garagedoorsupplyhouse.com/runtime.js	(from https://doorbuilder.garagedoorsupplyhouse.com/)
23:54:27	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jan%202026%2016:54:26%20GMT	http://doorbuilder.garagedoorsupplyhouse.com/es2015-polyfills.js	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/doorbuilder.garagedoorsupplyhouse.com/es2015-polyfills.js	(from https://doorbuilder.garagedoorsupplyhouse.com/)
23:54:28	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jan%202026%2016:54:27%20GMT	http://doorbuilder.garagedoorsupplyhouse.com/polyfills.js	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/doorbuilder.garagedoorsupplyhouse.com/polyfills.js	(from https://doorbuilder.garagedoorsupplyhouse.com/)
23:54:30	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jan%202026%2016:54:28%20GMT	http://doorbuilder.garagedoorsupplyhouse.com/styles.js	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/doorbuilder.garagedoorsupplyhouse.com/styles.js	(from https://doorbuilder.garagedoorsupplyhouse.com/)
23:54:32	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2014%20Jan%202026%2016:54:31%20GMT	http://doorbuilder.garagedoorsupplyhouse.com/vendor.js	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/doorbuilder.garagedoorsupplyhouse.com/vendor.js	(from https://doorbuilder.garagedoorsupplyhouse.com/)
23:54:32	291443/291443	---M--	200	added ('OK')	application/javascript	etag:%22691ddf30-47273%22	https://doorbuilder.garagedoorsupplyhouse.com/es2015-polyfills.js	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/doorbuilder.garagedoorsupplyhouse.com/es2015-polyfills.js	(from https://doorbuilder.garagedoorsupplyhouse.com/)
23:54:33	241841/241841	---M--	200	added ('OK')	application/javascript	etag:%22691ddf34-3b0b1%22	https://doorbuilder.garagedoorsupplyhouse.com/polyfills.js	C:/Users/OxGh0/OneDrive/Desktop/Copied%20Websites/Companies/Pimp%20My%20Door/doorbuilder.garagedoorsupplyhouse.com/polyfills.js	(from https://doorbuilder.garagedoorsupplyhouse.com/)
